0,Spaghetti and Meatballs,"""[\""1 lb. spaghetti\"", \""1 lb. ground beef\"", \""1 egg\"", \""1/4 c. breadcrumbs\"", \""1/4 c. grated Parmesan cheese\"", \""1 (24 oz.) jar marinara sauce\""]""","""[\""Cook spaghetti according to package directions.\"", \""In a bowl, combine ground beef, egg, breadcrumbs, and Parmesan cheese. Form into meatballs.\"", \""Brown meatballs in a large skillet. Drain fat.\"", \""Pour marinara sauce over the meatballs, bring to a simmer, and cook for 15 minutes.\"", \""Serve the meatballs and sauce over the cooked spaghetti.\""]""",www.example-dinner.com/recipe/0,Generated,"""[\""spaghetti\"", \""ground beef\"", \""egg\"", \""breadcrumbs\"", \""Parmesan cheese\"", \""marinara sauce\""]"""
1,Classic Beef Tacos,"""[\""1 lb. ground beef\"", \""1 packet taco seasoning\"", \""12 hard taco shells\"", \""1 c. shredded lettuce\"", \""1 c. diced tomatoes\"", \""1 c. shredded cheddar cheese\"", \""salsa and sour cream for topping\""]""","""[\""In a skillet, cook ground beef until browned. Drain the fat.\"", \""Stir in the taco seasoning and water according to the packet's directions. Simmer for 5 minutes.\"", \""Warm the taco shells in the oven.\"", \""Fill each shell with the seasoned beef, then top with lettuce, tomatoes, cheese, salsa, and sour cream.\""]""",www.example-dinner.com/recipe/1,Generated,"""[\""ground beef\"", \""taco seasoning\"", \""taco shells\"", \""lettuce\"", \""tomatoes\"", \""cheddar cheese\"", \""salsa\"", \""sour cream\""]"""
2,Simple Baked Salmon,"""[\""2 (6 oz.) salmon fillets\"", \""1 Tbsp. olive oil\"", \""1 tsp. garlic powder\"", \""1/2 tsp. salt\"", \""1/4 tsp. black pepper\"", \""1 lemon, sliced\""]""","""[\""Preheat oven to 400\u00b0F (200\u00b0C).\"", \""Place salmon fillets on a baking sheet lined with foil.\"", \""Drizzle with olive oil and sprinkle with garlic powder, salt, and pepper.\"", \""Top each fillet with a few lemon slices.\"", \""Bake for 12-15 minutes, or until the salmon is cooked through and flakes easily with a fork.\""]""",www.example-dinner.com/recipe/2,Generated,"""[\""salmon\"", \""olive oil\"", \""garlic powder\"", \""salt\"", \""pepper\"", \""lemon\""]"""
3,Chicken Alfredo,"""[\""1 lb. fettuccine\"", \""1 lb. boneless, skinless chicken breast, cut into bite-sized pieces\"", \""2 Tbsp. butter\"", \""1 pint heavy cream\"", \""1 c. grated Parmesan cheese\"", \""2 cloves garlic, minced\"", \""salt and pepper to taste\""]""","""[\""Cook fettuccine according to package directions.\"", \""While pasta cooks, season chicken with salt and pepper. Melt butter in a large skillet and cook chicken until golden and cooked through. Remove chicken from skillet.\"", \""In the same skillet, add garlic and cook for 30 seconds. Add heavy cream and bring to a simmer. Cook for 3-5 minutes until it thickens.\"", \""Stir in Parmesan cheese until the sauce is smooth. Season with salt and pepper.\"", \""Return the chicken to the skillet, add the drained pasta, and toss to coat.\""]""",www.example-dinner.com/recipe/3,Generated,"""[\""fettuccine\"", \""chicken breast\"", \""butter\"", \""heavy cream\"", \""Parmesan cheese\"", \""garlic\"", \""salt\"", \""pepper\""]"""
4,Homemade Hamburgers,"""[\""1 lb. ground beef\"", \""1/2 tsp. salt\"", \""1/4 tsp. black pepper\"", \""4 hamburger buns\"", \""lettuce, tomato, onion slices for topping\""]""","""[\""Gently combine ground beef, salt, and pepper. Form into 4 patties.\"", \""Grill or pan-fry the patties over medium-high heat for 4-5 minutes per side, or until cooked to desired doneness.\"", \""Serve on hamburger buns with your favorite toppings.\""]""",www.example-dinner.com/recipe/4,Generated,"""[\""ground beef\"", \""salt\"", \""pepper\"", \""hamburger buns\"", \""lettuce\"", \""tomato\"", \""onion\""]"""
5,Vegetable Lasagna,"""[\""9 oven-ready lasagna noodles\"", \""1 (15 oz.) container ricotta cheese\"", \""2 c. shredded mozzarella cheese\"", \""1/2 c. grated Parmesan cheese\"", \""1 egg\"", \""1 (24 oz.) jar marinara sauce\"", \""2 c. chopped vegetables (spinach, zucchini, bell peppers)\""]""","""[\""Preheat oven to 375\u00b0F (190\u00b0C).\"", \""In a bowl, mix together ricotta cheese, 1 cup of mozzarella, Parmesan, and the egg.\"", \""Spread a thin layer of marinara sauce in the bottom of a 9x13 inch baking dish.\"", \""Layer with 3 noodles, half of the ricotta mixture, half of the vegetables, and a layer of sauce.\"", \""Repeat the layers. Top with the final 3 noodles, the remaining sauce, and the remaining 1 cup of mozzarella cheese.\"", \""Bake for 45 minutes, or until bubbly and golden.\""]""",www.example-dinner.com/recipe/5,Generated,"""[\""lasagna noodles\"", \""ricotta cheese\"", \""mozzarella cheese\"", \""Parmesan cheese\"", \""egg\"", \""marinara sauce\"", \""spinach\"", \""zucchini\"", \""bell peppers\""]"""
6,Chicken Parmesan,"""[\""2 boneless, skinless chicken breasts, pounded thin\"", \""1 c. breadcrumbs\"", \""1/2 c. Parmesan cheese\"", \""1 egg, beaten\"", \""1/2 c. flour\"", \""1 c. marinara sauce\"", \""1 c. shredded mozzarella cheese\""]""","""[\""Preheat oven to 400\u00b0F (200\u00b0C).\"", \""Set up three shallow dishes: one with flour, one with the beaten egg, and one with breadcrumbs mixed with Parmesan.\"", \""Dredge each chicken breast in flour, then egg, then breadcrumbs.\"", \""Pan-fry the chicken in a little oil for 2-3 minutes per side until golden. Place in a baking dish.\"", \""Top each breast with marinara sauce and mozzarella cheese.\"", \""Bake for 15-20 minutes, until cheese is melted and bubbly.\""]""",www.example-dinner.com/recipe/6,Generated,"""[\""chicken breast\"", \""breadcrumbs\"", \""Parmesan cheese\"", \""egg\"", \""flour\"", \""marinara sauce\"", \""mozzarella cheese\""]"""
7,Shepherd's Pie,"""[\""1 lb. ground beef\"", \""1 onion, chopped\"", \""1 c. frozen mixed vegetables (peas and carrots)\"", \""1 (10 oz.) can beef gravy\"", \""2 c. prepared mashed potatoes\"", \""1/2 c. shredded cheddar cheese\""]""","""[\""Preheat oven to 375\u00b0F (190\u00b0C).\"", \""In a skillet, cook ground beef and onion until browned. Drain fat.\"", \""Stir in the mixed vegetables and gravy. Bring to a simmer and pour into a casserole dish.\"", \""Spread the mashed potatoes evenly over the meat mixture.\"", \""Sprinkle with cheddar cheese.\"", \""Bake for 20-25 minutes, or until heated through and the top is golden.\""]""",www.example-dinner.com/recipe/7,Generated,"""[\""ground beef\"", \""onion\"", \""mixed vegetables\"", \""beef gravy\"", \""mashed potatoes\"", \""cheddar cheese\""]"""
8,Beef and Broccoli Stir-Fry,"""[\""1 lb. flank steak, thinly sliced\"", \""1 head of broccoli, cut into florets\"", \""1/4 c. soy sauce\"", \""2 Tbsp. honey\"", \""1 Tbsp. cornstarch\"", \""2 cloves garlic, minced\"", \""1 Tbsp. vegetable oil\""]""","""[\""In a small bowl, whisk together soy sauce, honey, cornstarch, and garlic.\"", \""Heat oil in a large skillet or wok over high heat. Add the steak and cook until browned. Remove from skillet.\"", \""Add broccoli florets to the skillet with a few tablespoons of water. Cover and steam for 3-4 minutes.\"", \""Return the steak to the skillet. Pour the sauce over everything and stir-fry for 1-2 minutes until the sauce thickens.\"", \""Serve immediately over rice.\""]""",www.example-dinner.com/recipe/8,Generated,"""[\""flank steak\"", \""broccoli\"", \""soy sauce\"", \""honey\"", \""cornstarch\"", \""garlic\"", \""vegetable oil\""]"""
9,Shrimp Scampi,"""[\""1 lb. spaghetti\"", \""1 lb. large shrimp, peeled and deveined\"", \""4 Tbsp. butter\"", \""4 cloves garlic, minced\"", \""1/2 c. dry white wine or chicken broth\"", \""Juice of 1 lemon\"", \""2 Tbsp. chopped parsley\""]""","""[\""Cook spaghetti according to package directions.\"", \""In a large skillet, melt butter over medium heat. Add garlic and cook for 1 minute.\"", \""Add the shrimp and cook for 2-3 minutes until pink.\"", \""Pour in the white wine and lemon juice. Bring to a simmer.\"", \""Toss the drained pasta with the shrimp sauce. Sprinkle with parsley before serving.\""]""",www.example-dinner.com/recipe/9,Generated,"""[\""spaghetti\"", \""shrimp\"", \""butter\"", \""garlic\"", \""white wine\"", \""chicken broth\"", \""lemon\"", \""parsley\""]"""
