"0","Classic Pancakes","""[""""1 1/2 c. all-purpose flour"""""," """"3 1/2 tsp. baking powder"""""," """"1 tsp. salt"," """"1 Tbsp. white sugar"," """"1 1/4 c. milk"""""
"1","Simple Scrambled Eggs","""[""""2 large eggs"""""," """"2 Tbsp. milk"""""," """"1/2 Tbsp. butter"," """"pinch of salt"," """"pinch of black pepper""""]"""
"2","Avocado Toast","""[""""1 ripe avocado"""""," """"2 slices of bread"""""," """"1/2 tsp. salt"," """"1/4 tsp. black pepper"," """"1 pinch red pepper flakes (optional)""""]"""
"3","Belgian Waffles","""[""""2 c. all-purpose flour"""""," """"2 tsp. baking powder"""""," """"1/2 tsp. salt"," """"4 Tbsp. sugar"," """"2 eggs"
"4","French Toast","""[""""4 slices of bread"""""," """"2 large eggs"""""," """"1/2 c. milk"," """"1 tsp. vanilla extract"," """"1/4 tsp. cinnamon"""""
"5","Classic Oatmeal","""[""""1/2 c. rolled oats"""""," """"1 c. water or milk"""""," """"1 pinch of salt""""]","[""""Combine oats"," water or milk"
"6","Yogurt Parfait","""[""""1 c. Greek yogurt"""""," """"1/2 c. granola"""""," """"1/2 c. mixed berries""""]","[""""In a glass or bowl"," layer 1/3 of the yogurt"
"7","Breakfast Smoothie","""[""""1 banana"""""," """"1/2 c. mixed berries"," frozen"," """"1/4 c. Greek yogurt"," """"1/2 c. milk or almond milk"""""
"8","Cheese Omelette","""[""""3 large eggs"""""," """"3 Tbsp. milk"""""," """"1/4 c. shredded cheddar cheese"," """"1 Tbsp. butter"," """"salt and pepper to taste""""]"""
"9","Eggs Benedict","""[""""2 English muffins"," split"""""," """"4 slices Canadian bacon"," """"4 large eggs"," """"1 packet hollandaise sauce mix"""""
"10","Breakfast Burrito","""[""""2 large flour tortillas"""""," """"4 large eggs"," scrambled"," """"1/2 c. cooked sausage or bacon"," crumbled"""""
"11","Crispy Bacon","""[""""1 lb. sliced bacon""""]""","""[""""Arrange bacon slices in a single layer on a large skillet."""""," """"Cook over medium heat"," turning occasionally"," until bacon is evenly browned and crispy"
"12","Breakfast Sausage Patties","""[""""1 lb. ground pork"""""," """"1 tsp. salt"""""," """"1/2 tsp. black pepper"," """"1 tsp. dried sage"," """"1/4 tsp. red pepper flakes""""]"""
"13","Hash Browns","""[""""2 large russet potatoes"," peeled"""""," """"2 Tbsp. vegetable oil"," """"1/2 tsp. salt""""]","""[""""Grate the potatoes using a box grater."""""
"14","Bagel with Cream Cheese","""[""""1 bagel"," sliced in half"""""," """"2 Tbsp. cream cheese""""]","[""""Toast the bagel halves to your liking."," """"Spread cream cheese evenly on each half.""""]"""
"15","English Muffin with Butter","""[""""1 English muffin"," split"""""," """"1 Tbsp. butter""""]","[""""Toast the English muffin halves until golden brown."," """"While hot"
"16","Tofu Scramble (Vegan)","""[""""1 block (14 oz.) firm tofu"," pressed"""""," """"1 Tbsp. olive oil"," """"1/4 c. nutritional yeast"," """"1/2 tsp. turmeric"""""
"17","Shakshuka","""[""""1 Tbsp. olive oil"""""," """"1 small onion"," chopped"," """"2 cloves garlic"," minced"""""
"18","Biscuits and Gravy","""[""""1 tube refrigerated biscuits"""""," """"1 lb. pork sausage"""""," """"1/4 c. all-purpose flour"," """"2 1/2 c. milk"," """"salt and black pepper to taste""""]"""
"19","Fruit Salad","""[""""1 c. strawberries"," hulled and quartered"""""," """"1 c. blueberries"," """"2 kiwis"," peeled and sliced"""""
"20","Grits","""[""""1 c. quick-cooking grits"""""," """"4 c. water"""""," """"1 tsp. salt"," """"2 Tbsp. butter"," """"1/2 c. shredded cheddar cheese (optional)""""]"""
"21","Crepes with Nutella","""[""""1 c. all-purpose flour"""""," """"2 large eggs"""""," """"1/2 c. milk"," """"1/2 c. water"," """"1/4 tsp. salt"""""
"22","Blueberry Muffins","""[""""1 1/2 c. all-purpose flour"""""," """"3/4 c. granulated sugar"""""," """"1/2 tsp. salt"," """"2 tsp. baking powder"," """"1/3 c. vegetable oil"""""
"23","Quiche Lorraine","""[""""1 unbaked 9-inch pie crust"""""," """"6 slices bacon"," cooked and crumbled"," """"1 c. shredded Swiss cheese"," """"3 large eggs"""""
"24","Smoked Salmon Bagel","""[""""1 bagel"," sliced and toasted"""""," """"2 Tbsp. cream cheese"," """"2 oz. smoked salmon"," """"1 Tbsp. capers"""""
"25","Acai Bowl","""[""""2 (100g) packets frozen acai puree"""""," """"1/2 banana"""""," """"1/4 c. almond milk"," """"Toppings: sliced banana"," berries"
"26","Breakfast Quesadilla","""[""""1 large flour tortilla"""""," """"1/2 c. shredded Monterey Jack cheese"""""," """"2 scrambled eggs"," """"2 Tbsp. cooked and crumbled bacon or sausage"," """"Salsa and sour cream for serving""""]"""
"27","Cottage Cheese with Fruit","""[""""1 c. cottage cheese"""""," """"1/2 c. mixed fruit (like peaches"," pineapple"," or berries)"," """"1 Tbsp. honey or maple syrup (optional)""""]"""
"28","Frittata","""[""""6 large eggs"""""," """"1/4 c. milk"""""," """"1/2 tsp. salt"," """"1/4 tsp. pepper"," """"1 c. fillings (e.g."
"29","Chia Seed Pudding","""[""""1/4 c. chia seeds"""""," """"1 c. milk or almond milk"""""," """"1 Tbsp. maple syrup"," """"1/2 tsp. vanilla extract""""]","""[""""In a jar or bowl"
"30","Huevos Rancheros","""[""""2 corn tortillas"""""," """"2 large eggs"""""," """"1/2 c. canned black beans"," rinsed"," """"1/2 c. ranchero sauce or salsa"""""
"31","Pineapple Strawberry Smoothie","[""1/2 c. frozen pineapple"", ""1/2 c. frozen strawberry"", ""1 c. almond milk""]","[""Combine all ingredients in a blender."", ""Blend until smooth. Serve immediately.""]","www.example-breakfast.com/recipe/31","Generated","[""pineapple"", ""strawberry"", ""almond milk""]"
"32","Fried Eggs with Sausage","[""3 large eggs"", ""1 Tbsp. milk"", ""1/4 c. sausage"", ""1/2 Tbsp. butter"", ""salt and pepper to taste""]","[""Whisk eggs and milk. Melt butter in a skillet."", ""Cook eggs to Fried style, adding sausage towards the end of cooking. Season and serve.""]","www.example-breakfast.com/recipe/32","Generated","[""eggs"", ""milk"", ""sausage"", ""butter"", ""salt"", ""pepper""]"
"33","Banana Slices Waffles","[""1 1/2 c. all-purpose flour"", ""1 egg"", ""1 c. milk"", ""2 tsp. baking powder"", ""1/2 c. banana slices""]","[""Mix dry ingredients, then add wet ingredients and stir until just combined."", ""Gently fold in banana slices."", ""Cook on a griddle/waffle iron until golden brown.""]","www.example-breakfast.com/recipe/33","Generated","[""flour"", ""egg"", ""milk"", ""baking powder"", ""banana slices""]"
"34","Salty Canadian Bacon","[""1/2 lb. Canadian bacon""]","[""Cook Canadian bacon in a skillet over medium heat until desired crispness."", ""Drain excess fat and serve.""]","www.example-breakfast.com/recipe/34","Generated","[""Canadian bacon""]"
"35","Poached Eggs with Cheese","[""3 large eggs"", ""1 Tbsp. white vinegar"", ""1/4 c. cheese"", ""1/2 Tbsp. butter"", ""salt and pepper to taste""]","[""Bring a pot of water to a simmer. Add vinegar. Gently crack eggs into water and poach for 3-4 minutes."", ""Remove with a slotted spoon. Season and serve.""]","www.example-breakfast.com/recipe/35","Generated","[""eggs"", ""white vinegar"", ""cheese"", ""butter"", ""salt"", ""pepper""]"
"36","Scrambled Eggs with Cheese","[""3 large eggs"", ""1 Tbsp. milk"", ""1/4 c. cheese"", ""1/2 Tbsp. butter"", ""salt and pepper to taste""]","[""Whisk eggs and milk. Melt butter in a skillet."", ""Cook eggs to Scrambled style, adding cheese towards the end of cooking. Season and serve.""]","www.example-breakfast.com/recipe/36","Generated","[""eggs"", ""milk"", ""cheese"", ""butter"", ""salt"", ""pepper""]"
"37","Loaded Whole Wheat Toast with Peanut Butter","[""2 slices whole wheat"", ""2 Tbsp. peanut butter"", ""1/4 c. honey drizzle""]","[""Toast bread slices."", ""Spread peanut butter generously on toast."", ""Top with honey drizzle.""]","www.example-breakfast.com/recipe/37","Generated","[""whole_wheat"", ""peanut_butter"", ""honey_drizzle""]"
"38","Blueberries Waffles","[""1 1/2 c. all-purpose flour"", ""1 egg"", ""1 c. milk"", ""2 tsp. baking powder"", ""1/2 c. blueberries""]","[""Mix dry ingredients, then add wet ingredients and stir until just combined."", ""Gently fold in blueberries."", ""Cook on a griddle/waffle iron until golden brown.""]","www.example-breakfast.com/recipe/38","Generated","[""flour"", ""egg"", ""milk"", ""baking powder"", ""blueberries""]"
"39","Spinach (For Green Smoothie) Blueberry Smoothie","[""1/2 c. frozen spinach (for green smoothie)"", ""1/2 c. frozen blueberry"", ""1 c. almond milk""]","[""Combine all ingredients in a blender."", ""Blend until smooth. Serve immediately.""]","www.example-breakfast.com/recipe/39","Generated","[""spinach (for green smoothie)"", ""blueberry"", ""almond milk""]"
"40","Scrambled Eggs with Bell Peppers","[""3 large eggs"", ""1 Tbsp. milk"", ""1/4 c. bell peppers"", ""1/2 Tbsp. butter"", ""salt and pepper to taste""]","[""Whisk eggs and milk. Melt butter in a skillet."", ""Cook eggs to Scrambled style, adding bell peppers towards the end of cooking. Season and serve.""]","www.example-breakfast.com/recipe/40","Generated","[""eggs"", ""milk"", ""bell peppers"", ""butter"", ""salt"", ""pepper""]"
"41","Spinach (For Green Smoothie) Mango Smoothie","[""1/2 c. frozen spinach (for green smoothie)"", ""1/2 c. frozen mango"", ""1 c. coconut water"", ""1 Tbsp. chia seeds""]","[""Combine all ingredients in a blender."", ""Blend until smooth. Serve immediately.""]","www.example-breakfast.com/recipe/41","Generated","[""spinach (for green smoothie)"", ""mango"", ""coconut water"", ""chia seeds""]"
"42","Loaded Rye Toast with Peanut Butter","[""2 slices rye"", ""2 Tbsp. peanut butter"", ""1/4 c. berries""]","[""Toast bread slices."", ""Spread peanut butter generously on toast."", ""Top with berries.""]","www.example-breakfast.com/recipe/42","Generated","[""rye"", ""peanut_butter"", ""berries""]"
"43","Quick Blueberries and Walnuts Oatmeal","[""1/2 c. rolled oats"", ""1 c. water"", ""1/4 c. blueberries"", ""1 Tbsp. walnuts"", ""1 Tbsp. maple syrup""]","[""Combine oats and water in a microwave-safe bowl. Microwave for 1-2 minutes until cooked."", ""Stir in blueberries, walnuts, and maple syrup. Serve warm.""]","www.example-breakfast.com/recipe/43","Generated","[""rolled oats"", ""water"", ""blueberries"", ""walnuts"", ""maple syrup""]"
"44","Chocolate Chips Pancakes","[""1 1/2 c. all-purpose flour"", ""1 egg"", ""1 c. milk"", ""2 tsp. baking powder"", ""1/2 c. chocolate chips""]","[""Mix dry ingredients, then add wet ingredients and stir until just combined."", ""Gently fold in chocolate chips."", ""Cook on a griddle/waffle iron until golden brown.""]","www.example-breakfast.com/recipe/44","Generated","[""flour"", ""egg"", ""milk"", ""baking powder"", ""chocolate chips""]"
"45","Pecans Waffles","[""1 1/2 c. all-purpose flour"", ""1 egg"", ""1 c. milk"", ""2 tsp. baking powder"", ""1/2 c. pecans""]","[""Mix dry ingredients, then add wet ingredients and stir until just combined."", ""Gently fold in pecans."", ""Cook on a griddle/waffle iron until golden brown.""]","www.example-breakfast.com/recipe/45","Generated","[""flour"", ""egg"", ""milk"", ""baking powder"", ""pecans""]"
"46","Poached Egg Wrap with Swiss","[""1 large flour tortilla"", ""2 eggs"", ""1/4 c. shredded Swiss"", ""1/4 c. Poached eggs""]","[""Warm tortilla. Scramble eggs. Layer eggs, cheese, and vegetables (if using) on tortilla."", ""Fold and enjoy.""]","www.example-breakfast.com/recipe/46","Generated","[""flour tortilla"", ""eggs"", ""Swiss""]"
"47","Loaded Whole Wheat Toast with Honey","[""2 slices whole wheat"", ""2 Tbsp. honey"", ""1/4 c. cinnamon""]","[""Toast bread slices."", ""Spread honey generously on toast."", ""Top with cinnamon.""]","www.example-breakfast.com/recipe/47","Generated","[""whole_wheat"", ""honey"", ""cinnamon""]"
"48","Boiled Egg Wrap with Cheddar","[""1 large flour tortilla"", ""2 eggs"", ""1/4 c. shredded cheddar"", ""1/4 c. Boiled eggs""]","[""Warm tortilla. Scramble eggs. Layer eggs, cheese, and vegetables (if using) on tortilla."", ""Fold and enjoy.""]","www.example-breakfast.com/recipe/48","Generated","[""flour tortilla"", ""eggs"", ""cheddar""]"
"49","Loaded White Bread Toast with Peanut Butter","[""2 slices white bread"", ""2 Tbsp. peanut butter"", ""1/4 c. cinnamon""]","[""Toast bread slices."", ""Spread peanut butter generously on toast."", ""Top with cinnamon.""]","www.example-breakfast.com/recipe/49","Generated","[""white_bread"", ""peanut_butter"", ""cinnamon""]"
"50","Boiled Egg Wrap with Cheddar (71)","[""1 large flour tortilla"", ""2 eggs"", ""1/4 c. shredded cheddar"", ""1/4 c. Boiled eggs"", ""2 Tbsp. diced onions""]","[""Warm tortilla. Scramble eggs. Layer eggs, cheese, and vegetables (if using) on tortilla."", ""Fold and enjoy.""]","www.example-breakfast.com/recipe/50","Generated","[""flour tortilla"", ""eggs"", ""cheddar"", ""onions""]"
"51","Strawberry Spinach (For Green Smoothie) Smoothie","[""1/2 c. frozen strawberry"", ""1/2 c. frozen spinach (for green smoothie)"", ""1 c. coconut water"", ""1 Tbsp. chia seeds""]","[""Combine all ingredients in a blender."", ""Blend until smooth. Serve immediately.""]","www.example-breakfast.com/recipe/51","Generated","[""strawberry"", ""spinach (for green smoothie)"", ""coconut water"", ""chia seeds""]"
"52","Chocolate Chips Waffles","[""1 1/2 c. all-purpose flour"", ""1 egg"", ""1 c. milk"", ""2 tsp. baking powder"", ""1/2 c. chocolate chips""]","[""Mix dry ingredients, then add wet ingredients and stir until just combined."", ""Gently fold in chocolate chips."", ""Cook on a griddle/waffle iron until golden brown.""]","www.example-breakfast.com/recipe/52","Generated","[""flour"", ""egg"", ""milk"", ""baking powder"", ""chocolate chips""]"
"53","Chocolate Chips Pancakes (10)","[""1 1/2 c. all-purpose flour"", ""1 egg"", ""1 c. milk"", ""2 tsp. baking powder"", ""1/2 c. chocolate chips""]","[""Mix dry ingredients, then add wet ingredients and stir until just combined."", ""Gently fold in chocolate chips."", ""Cook on a griddle/waffle iron until golden brown.""]","www.example-breakfast.com/recipe/53","Generated","[""flour"", ""egg"", ""milk"", ""baking powder"", ""chocolate chips""]"
"54","Quick Raspberries and Pecans Oatmeal","[""1/2 c. rolled oats"", ""1 c. water"", ""1/4 c. raspberries"", ""1 Tbsp. pecans"", ""1 Tbsp. honey""]","[""Combine oats and water in a microwave-safe bowl. Microwave for 1-2 minutes until cooked."", ""Stir in raspberries, pecans, and honey. Serve warm.""]","www.example-breakfast.com/recipe/54","Generated","[""rolled oats"", ""water"", ""raspberries"", ""pecans"", ""honey""]"
"55","Scrambled Eggs with Mushrooms","[""3 large eggs"", ""1 Tbsp. milk"", ""1/4 c. mushrooms"", ""1/2 Tbsp. butter"", ""salt and pepper to taste""]","[""Whisk eggs and milk. Melt butter in a skillet."", ""Cook eggs to Scrambled style, adding mushrooms towards the end of cooking. Season and serve.""]","www.example-breakfast.com/recipe/55","Generated","[""eggs"", ""milk"", ""mushrooms"", ""butter"", ""salt"", ""pepper""]"
"56","Quick Banana and Almonds Oatmeal","[""1/2 c. rolled oats"", ""1 c. water"", ""1/4 c. banana"", ""1 Tbsp. almonds"", ""1 Tbsp. brown sugar""]","[""Combine oats and water in a microwave-safe bowl. Microwave for 1-2 minutes until cooked."", ""Stir in banana, almonds, and brown sugar. Serve warm.""]","www.example-breakfast.com/recipe/56","Generated","[""rolled oats"", ""water"", ""banana"", ""almonds"", ""brown sugar""]"
"57","Scrambled Eggs with Cheese (41)","[""3 large eggs"", ""1 Tbsp. milk"", ""1/4 c. cheese"", ""1/2 Tbsp. butter"", ""salt and pepper to taste""]","[""Whisk eggs and milk. Melt butter in a skillet."", ""Cook eggs to Scrambled style, adding cheese towards the end of cooking. Season and serve.""]","www.example-breakfast.com/recipe/57","Generated","[""eggs"", ""milk"", ""cheese"", ""butter"", ""salt"", ""pepper""]"
"58","Salty Bacon","[""1/2 lb. bacon""]","[""Cook bacon in a skillet over medium heat until desired crispness."", ""Drain excess fat and serve.""]","www.example-breakfast.com/recipe/58","Generated","[""bacon""]"
"59","Quick Raspberries and Chia Seeds Oatmeal","[""1/2 c. rolled oats"", ""1 c. water"", ""1/4 c. raspberries"", ""1 Tbsp. chia seeds"", ""1 Tbsp. honey""]","[""Combine oats and water in a microwave-safe bowl. Microwave for 1-2 minutes until cooked."", ""Stir in raspberries, chia seeds, and honey. Serve warm.""]","www.example-breakfast.com/recipe/59","Generated","[""rolled oats"", ""water"", ""raspberries"", ""chia seeds"", ""honey""]"
"60","Poached Eggs with Sausage","[""3 large eggs"", ""1 Tbsp. white vinegar"", ""1/4 c. sausage"", ""1/2 Tbsp. butter"", ""salt and pepper to taste""]","[""Bring a pot of water to a simmer. Add vinegar. Gently crack eggs into water and poach for 3-4 minutes."", ""Remove with a slotted spoon. Season and serve.""]","www.example-breakfast.com/recipe/60","Generated","[""eggs"", ""white vinegar"", ""sausage"", ""butter"", ""salt"", ""pepper""]"
"61","Loaded Whole Wheat Toast with Honey (5)","[""2 slices whole wheat"", ""2 Tbsp. honey"", ""1/4 c. sliced banana""]","[""Toast bread slices."", ""Spread honey generously on toast."", ""Top with sliced banana.""]","www.example-breakfast.com/recipe/61","Generated","[""whole_wheat"", ""honey"", ""sliced_banana""]"
"62","Blueberries Waffles (18)","[""1 1/2 c. all-purpose flour"", ""1 egg"", ""1 c. milk"", ""2 tsp. baking powder"", ""1/2 c. blueberries""]","[""Mix dry ingredients, then add wet ingredients and stir until just combined."", ""Gently fold in blueberries."", ""Cook on a griddle/waffle iron until golden brown.""]","www.example-breakfast.com/recipe/62","Generated","[""flour"", ""egg"", ""milk"", ""baking powder"", ""blueberries""]"
"63","Quick Raspberries and Chia Seeds Oatmeal (22)","[""1/2 c. rolled oats"", ""1 c. water"", ""1/4 c. raspberries"", ""1 Tbsp. chia seeds"", ""1 Tbsp. brown sugar""]","[""Combine oats and water in a microwave-safe bowl. Microwave for 1-2 minutes until cooked."", ""Stir in raspberries, chia seeds, and brown sugar. Serve warm.""]","www.example-breakfast.com/recipe/63","Generated","[""rolled oats"", ""water"", ""raspberries"", ""chia seeds"", ""brown sugar""]"
"64","Scrambled Egg Wrap with Cheddar","[""1 large flour tortilla"", ""2 eggs"", ""1/4 c. shredded cheddar"", ""1/4 c. Scrambled eggs""]","[""Warm tortilla. Scramble eggs. Layer eggs, cheese, and vegetables (if using) on tortilla."", ""Fold and enjoy.""]","www.example-breakfast.com/recipe/64","Generated","[""flour tortilla"", ""eggs"", ""cheddar""]"
